iter	Passed	Remaining
401	15845	3862
402	15886	3823
403	15925	3784
404	15962	3744
405	15999	3704
406	16035	3664
407	16072	3624
408	16110	3584
409	16158	3546
410	16196	3507
411	16235	3467
412	16277	3428
413	16316	3389
414	16354	3349
415	16392	3310
416	16435	3271
417	16476	3232
418	16528	3195
419	16566	3155
420	16612	3117
421	16663	3079
422	16709	3041
423	16760	3004
424	16803	2965
425	16849	2926
426	16950	2897
427	16988	2857
428	17026	2817
429	17062	2777
430	17098	2737
431	17133	2696
432	17169	2656
433	17210	2617
434	17266	2580
435	17351	2547
436	17470	2518
437	17510	2478
438	17546	2438
439	17582	2397
440	17622	2357
441	17661	2317
442	17720	2280
443	17750	2238
444	17785	2198
445	17823	2157
446	17863	2118
447	17906	2078
448	17949	2038
449	18025	2002
450	18068	1963
451	18117	1923
452	18156	1883
453	18194	1843
454	18231	1803
455	18274	1763
456	18312	1723
457	18354	1683
458	18394	1643
459	18437	1603
460	18479	1563
461	18515	1522
462	18553	1482
463	18592	1442
464	18632	1402
465	18669	1362
466	18710	1322
467	18748	1281
468	18789	1241
469	18822	1201
470	18865	1161
471	18903	1121
472	18944	1081
473	18984	1041
474	19024	1001
475	19063	961
476	19106	921
477	19157	881
478	19200	841
479	19243	801
480	19301	762
481	19345	722
482	19386	682
483	19423	642
484	19461	601
485	19498	561
486	19538	521
487	19582	481
488	19625	441
489	19664	401
490	19731	361
491	19766	321
492	19803	281
493	19841	240
494	19878	200
495	19914	160
496	19951	120
497	19991	80
498	20030	40
499	20068	0
