iter	RMSE
422	0.2821933235
423	0.2811694361
424	0.2803065493
425	0.2802351767
426	0.2799012877
427	0.278994158
428	0.2786146397
429	0.2776496301
430	0.2764497911
431	0.2757403973
432	0.2744395894
433	0.2739069976
434	0.2726623808
435	0.2720481964
436	0.2716463898
437	0.2708371443
438	0.2702767094
439	0.2702162284
440	0.268923606
441	0.2686615758
442	0.2679914704
443	0.2679260835
444	0.2670847369
445	0.2662467658
446	0.2661667741
447	0.265065336
448	0.2640920284
449	0.2640599973
450	0.2635722608
451	0.2628061207
452	0.2620752974
453	0.2616502749
454	0.2615081649
455	0.2613798533
456	0.2608925403
457	0.2604238721
458	0.2598090086
459	0.2592653944
460	0.2584457673
461	0.2580616015
462	0.2575090939
463	0.257059777
464	0.2563924813
465	0.2556741726
466	0.2551676258
467	0.2545908803
468	0.254535596
469	0.2545089048
470	0.2544628409
471	0.2542488313
472	0.2535430667
473	0.2527713329
474	0.2525630681
475	0.2520475077
476	0.2511394045
477	0.2505329008
478	0.2499459782
479	0.2494557586
480	0.248275419
481	0.2477064331
482	0.2467799584
483	0.2462432264
484	0.2450752079
485	0.2448979834
486	0.2438107021
487	0.243374179
488	0.2427678697
489	0.2421975918
490	0.2416932726
491	0.2416712208
492	0.2411972336
493	0.2407687316
494	0.2404355558
495	0.2400210255
496	0.239990406
497	0.2396489431
498	0.2388479309
499	0.2382896361
